Table 41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIENS REMOVED BY CRIMINAL STATUS AND REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,
,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, People's Republic","1,362",132,"1,230",864,97,767,877,188,689,966,135,831,"1,060",166,894,"1,025",217,808,"1,039",208,831,788,171,617,659,137,522,634,117,517,
Colombia,"2,788","1,307","1,481","2,993","1,191","1,802","2,590","1,081","1,509","2,714","1,124","1,590","2,402","1,241","1,161","1,899","1,048",851,"1,591","1,055",536,"1,440",961,479,"1,349",859,490,"1,538",763,775,
"Congo, Democratic Republic",23,7,16,17,4,13,32,5,27,17,6,11,11,4,7,15,D,D,13,4,9,D,-,D,4,-,4,6,D,D,
"Congo, Republic",26,3,23,17,5,12,22,5,17,21,4,17,23,D,D,21,6,15,10,4,6,7,D,D,11,6,5,4,D,D,
Costa Rica,795,100,695,655,88,567,692,132,560,695,123,572,553,157,396,378,157,221,400,132,268,321,125,196,283,125,158,219,87,132,
Cote d'Ivoire,41,8,33,30,4,26,43,10,33,24,4,20,30,4,26,26,11,15,26,8,18,18,9,9,8,D,D,10,3,7,
Croatia,15,5,10,13,6,7,24,9,15,23,7,16,23,7,16,18,8,10,18,11,7,9,6,3,6,D,D,9,D,D,
Cuba,124,39,85,76,26,50,65,32,33,130,86,44,106,73,33,79,56,23,62,54,8,39,26,13,30,18,12,38,15,23,
Czech Republic,34,D,D,41,8,33,52,13,39,66,17,49,78,19,59,46,18,28,48,20,28,7,-,7,39,6,33,24,15,9,
Czechoslovakia (former),68,16,52,52,12,40,55,12,43,48,5,43,29,6,23,15,D,D,19,6,13,37,18,19,9,D,D,D,D,-,
Denmark,8,D,D,14,3,11,17,D,D,31,5,26,27,4,23,9,5,4,15,3,12,D,D,-,6,D,D,6,-,6,
Dominica,28,14,14,49,29,20,35,22,13,35,18,17,38,23,15,33,21,12,22,17,5,17,9,8,14,11,3,11,7,4,
Dominican Republic,"3,107","2,206",901,"2,990","2,044",946,"3,232","2,046","1,186","3,576","2,207","1,369","3,371","2,241","1,130","2,892","2,142",750,"2,867","2,182",685,"2,297","1,811",486,"2,066","1,640",426,"1,865","1,512",353,
Ecuador,"1,750",470,"1,280","1,564",392,"1,172","2,330",532,"1,798","2,383",602,"1,781","2,385",692,"1,693","1,716",704,"1,012","1,763",706,"1,057","1,510",585,925,"1,528",565,963,"1,414",481,933,
Egypt,172,30,142,145,29,116,166,37,129,157,36,121,123,40,83,109,29,80,100,28,72,67,23,44,73,20,53,53,21,32,
El Salvador,"11,050","3,850","7,200","20,045","4,949","15,096","20,050","5,558","14,492","20,844","6,344","14,500","20,346","8,368","11,978","17,379","8,507","8,872","18,993","8,674","10,319","20,921","9,451","11,470","26,895","9,021","17,874","21,471","7,115","14,356",
Eritrea,10,3,7,11,6,5,10,4,6,D,D,D,7,-,7,9,3,6,10,-,10,D,-,D,D,-,D,5,-,5,
Estonia,23,4,19,21,8,13,25,5,20,26,8,18,24,3,21,28,12,16,16,8,8,17,9,8,10,7,3,6,3,3,
Ethiopia,105,48,57,150,78,72,87,32,55,76,18,58,79,30,49,53,28,25,58,30,28,41,23,18,32,20,12,33,13,20,
Fiji,47,19,28,45,21,24,71,26,45,54,24,30,63,29,34,61,34,27,30,15,15,22,16,6,21,13,8,13,8,5,
Finland,6,D,D,D,-,D,11,4,7,10,-,10,17,D,D,7,3,4,8,D,D,9,3,6,3,-,3,D,D,D,
France,124,35,89,100,22,78,153,29,124,236,24,212,194,41,153,127,44,83,107,42,65,81,32,49,63,25,38,39,19,20,
Gabon,D,D,-,4,D,D,3,D,D,7,D,D,4,D,D,14,3,11,7,-,7,D,D,D,5,D,D,3,D,D,
Gambia,43,7,36,35,10,25,26,7,19,27,7,20,27,8,19,26,5,21,21,4,17,12,5,7,8,3,5,6,D,D,
Georgia,42,7,35,53,17,36,55,15,40,71,23,48,59,21,38,45,24,21,28,15,13,31,15,16,20,10,10,14,5,9,
Germany,158,61,97,165,60,105,178,63,115,204,53,151,201,84,117,154,65,89,113,58,55,84,48,36,75,50,25,47,34,13,
Ghana,187,69,118,231,88,143,202,61,141,229,60,169,199,65,134,188,76,112,179,79,100,105,53,52,111,49,62,70,32,38,
Greece,35,19,16,30,13,17,50,23,27,48,18,30,41,22,19,46,23,23,27,14,13,27,14,13,28,12,16,14,4,10,
Grenada,27,20,7,28,19,9,28,17,11,29,21,8,47,29,18,45,26,19,28,15,13,12,5,7,13,10,3,13,8,5,
Guatemala,"20,527","3,850","16,677","25,898","3,917","21,981","27,527","5,138","22,389","29,641","6,547","23,094","29,709","9,432","20,277","30,343","11,718","18,625","38,899","13,494","25,405","46,948","15,373","31,575","54,247","13,732","40,515","33,233","10,478","22,755",
Guinea,78,18,60,66,20,46,74,16,58,61,14,47,26,6,20,35,11,24,27,4,23,11,D,D,15,7,8,8,D,D,
Guyana,289,174,115,293,191,102,284,188,96,302,216,86,221,167,54,187,139,48,175,147,28,151,134,17,140,122,18,110,91,19,
Haiti,907,290,617,"1,492",519,973,"1,584",416,"1,168",730,473,257,477,126,351,729,251,478,703,568,135,515,453,62,396,350,46,459,265,194,
Honduras,"27,060","5,752","21,308","29,737","5,236","24,501","28,885","5,476","23,409","27,283","6,998","20,285","25,121","10,420","14,701","22,027","10,825","11,202","31,739","13,815","17,924","36,591","16,625","19,966","40,633","14,011","26,622","20,204","8,526","11,678",
Hong Kong,15,8,7,28,4,24,23,6,17,25,9,16,33,12,21,21,12,9,25,15,10,16,8,8,19,12,7,16,8,8,
Hungary,75,14,61,85,10,75,95,19,76,131,19,112,89,10,79,84,19,65,72,24,48,67,29,38,56,24,32,28,11,17,
India,"1,048",150,898,832,125,707,932,164,768,"1,046",186,860,959,177,782,723,161,562,577,160,417,415,129,286,438,108,330,502,133,369,
Indonesia,388,22,366,434,39,395,489,68,421,431,42,389,361,43,318,324,31,293,224,20,204,94,21,73,56,11,45,29,9,20,
Iran,59,16,43,48,9,39,40,11,29,55,15,40,74,15,59,57,14,43,36,13,23,30,10,20,16,7,9,20,11,9,
Iraq,21,4,17,27,3,24,37,7,30,33,16,17,59,35,24,26,18,8,26,15,11,31,16,15,25,14,11,29,13,16,
Ireland,54,11,43,57,20,37,79,19,60,129,19,110,107,21,86,59,28,31,45,24,21,49,20,29,30,15,15,21,12,9,
Israel,197,53,144,246,53,193,258,41,217,413,50,363,327,55,272,205,38,167,191,43,148,130,33,97,104,31,73,101,22,79,
Italy,144,78,66,158,69,89,215,74,141,244,61,183,201,62,139,124,44,80,119,49,70,114,50,64,90,42,48,69,38,31,
Jamaica,"1,662","1,234",428,"1,490","1,139",351,"1,628","1,214",414,"1,662","1,246",416,"1,481","1,169",312,"1,473","1,225",248,"1,319","1,150",169,"1,108",997,111,"1,035",828,207,852,630,222,
Japan,53,10,43,38,11,27,88,17,71,87,12,75,46,16,30,37,14,23,39,17,22,47,16,31,33,10,23,32,12,20,
Jordan,190,75,115,212,65,147,161,45,116,214,66,148,137,58,79,112,52,60,95,37,58,69,34,35,69,32,37,88,23,65,
Kazakhstan,15,3,12,19,D,D,25,7,18,34,9,25,41,6,35,31,8,23,38,13,25,21,8,13,16,5,11,12,4,8,
Kenya,97,36,61,126,43,83,140,44,96,175,70,105,171,56,115,139,56,83,145,94,51,99,65,34,86,62,24,76,53,23,
"Korea, South",451,115,336,417,123,294,419,116,303,394,129,265,356,156,200,424,156,268,343,181,162,255,135,120,213,124,89,145,66,79,
Kosovo,X,X,X,X,X,X,-,-,-,14,4,10,22,8,14,28,14,14,25,15,10,21,13,8,10,7,3,12,9,3,
