Table 37.,,,,,,,,,,,,,,
ALIENS DETERMINED INADMISSIBLE BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Region and country of nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,
Montenegro,X,-,-,-,-,25,36,32,32,53,,,,
Morocco,368,356,235,206,254,169,123,133,130,100,,,,
Nepal,70,65,122,66,63,104,67,77,51,198,,,,
Netherlands,681,599,625,583,541,399,372,384,419,388,,,,
Netherlands Antilles (former),23,12,14,14,14,7,-,-,-,-,,,,
New Zealand,381,274,225,169,171,138,126,152,160,182,,,,
Nicaragua,448,472,428,464,393,326,323,379,418,486,,,,
Niger,44,41,24,31,31,18,9,4,16,7,,,,
Nigeria,572,436,579,659,784,628,668,827,"1,147","1,609",,,,
Norway,219,171,179,207,167,110,122,122,96,81,,,,
Oman,6,4,4,3,D,4,5,5,8,10,,,,
Pakistan,"1,341",985,944,957,840,726,595,460,570,780,,,,
Palau,23,14,19,25,26,9,12,7,6,6,,,,
Panama,301,221,236,213,182,154,130,146,131,149,,,,
Papua New Guinea,3,4,4,7,4,D,6,7,21,D,,,,
Paraguay,54,67,54,46,42,20,24,27,31,33,,,,
Peru,"1,200","1,065","1,401","1,085",805,746,565,880,769,718,,,,
Philippines,"2,162","3,506","14,032","20,188","22,917","25,197","22,486","23,387","23,978","22,495",,,,
Poland,946,910,"1,258","1,295","1,108","1,148",763,761,674,715,,,,
Portugal,693,493,440,361,311,293,475,368,397,351,,,,
Qatar,27,D,5,6,16,7,7,18,14,21,,,,
Romania,521,611,"1,015","1,044","1,150",973,719,580,677,739,,,,
Russia,430,822,"2,753","3,774","3,676","3,905","2,848","2,431","2,299","2,063",,,,
Rwanda,47,28,37,41,18,59,56,81,50,35,,,,
Saint Kitts-Nevis,35,37,26,41,51,56,23,41,27,26,,,,
Saint Lucia,85,76,88,69,65,78,63,94,94,105,,,,
Saint Vincent and the Grenadines,96,109,97,97,103,77,64,64,82,101,,,,
Samoa,63,51,71,61,36,24,25,21,20,9,,,,
Saudi Arabia,118,148,148,170,232,310,311,369,471,618,,,,
Senegal,309,142,118,170,167,85,61,111,106,121,,,,
Serbia,X,-,-,-,-,86,98,186,96,137,,,,
Serbia and Montenegro (former),159,154,259,190,165,60,4,D,-,-,,,,
Seychelles,4,D,8,D,D,-,4,-,11,9,,,,
Sierra Leone,46,58,46,41,43,60,32,26,37,24,,,,
Singapore,128,135,147,146,109,92,141,130,106,120,,,,
Slovakia,94,72,66,145,118,135,103,119,93,84,,,,
Slovenia,32,20,21,27,33,22,32,28,44,38,,,,
Solomon Islands,D,D,D,12,D,5,D,7,D,-,,,,
Somalia,85,109,185,335,412,164,180,267,332,881,,,,
South Africa,278,258,289,277,248,188,240,209,249,299,,,,
Soviet Union (former),31,38,159,102,163,83,5,4,-,-,,,,
Spain,567,534,605,603,689,988,"1,717","2,423","2,069","2,598",,,,
Sri Lanka,389,328,434,462,315,253,190,182,210,196,,,,
Sudan,79,73,92,70,56,78,55,42,57,67,,,,
Suriname,13,14,16,8,10,7,D,3,10,7,,,,
Swaziland,10,D,4,7,5,D,D,D,5,10,,,,
Sweden,283,247,233,253,215,202,168,220,179,220,,,,
Switzerland,285,190,197,153,155,114,143,122,121,125,,,,
Syria,82,112,135,94,106,108,168,416,292,275,,,,
Taiwan,431,494,386,459,399,367,466,650,664,825,,,,
Tajikistan,-,3,8,10,5,5,15,3,4,6,,,,
Tanzania,53,47,67,359,326,162,40,47,32,43,,,,
Thailand,244,327,558,485,527,638,318,280,392,313,,,,
Togo,46,49,34,45,84,32,16,22,29,52,,,,
Tonga,60,64,52,61,53,25,33,14,35,23,,,,
Trinidad and Tobago,674,512,635,609,466,236,221,186,192,166,,,,
Tunisia,192,166,57,49,67,56,36,43,44,39,,,,
Turkey,391,458,"1,082","1,698","1,934","1,935","1,335","1,137","1,226","1,186",,,,
Turkmenistan,6,D,4,3,5,6,6,30,52,98,,,,
Turks and Caicos Islands,36,26,35,24,22,23,19,18,13,15,,,,
Tuvalu,-,D,3,5,-,7,24,-,D,D,,,,
Uganda,42,59,53,43,41,54,42,33,38,32,,,,
Ukraine,413,"1,063","4,806","4,917","4,657","4,359","2,928","2,882","3,398","3,062",,,,
United Arab Emirates,21,23,32,13,21,13,18,22,37,34,,,,
United Kingdom,"4,119","3,517","3,184","3,129","2,549","2,093","1,925","1,947","1,748","1,726",,,,
Uruguay,99,101,79,58,52,47,43,54,36,39,,,,
Uzbekistan,38,29,56,48,50,49,22,29,59,29,,,,
Vanuatu,D,-,13,4,-,-,-,D,-,D,,,,
Venezuela,633,604,584,458,422,341,363,405,493,970,,,,
Vietnam,504,498,733,865,"1,061","1,094",796,503,714,670,,,,
Yemen,92,69,58,65,61,47,54,48,49,51,,,,
Zambia,33,26,31,16,15,15,12,12,18,10,,,,
Zimbabwe,83,82,94,60,52,39,39,37,36,41,,,,
All other countries 1,57,54,41,32,45,48,46,44,43,40,,,,
Unknown,"1,005",689,421,320,281,470,232,164,183,178,,,,
X Not applicable.,,,,,,,,,,,,,,
D Data withheld to limit disclosure.,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,
1 Includes countries with less than 10 aliens determined inadmissible per year.,,,,,,,,,,,,,,
"Note: Before April 2008, did not include all crew members detained onboard vessels. Data are current as of October 2015.",,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,
