Table 34.,,,,,,,,,,,,,,,,,,,,
ALIENS APPREHENDED BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jamaica,"1,351",803,"3,068","3,075","3,064","2,862","2,655","2,147","1,677","1,176",,,,,,,,,,
Japan,33,19,68,68,72,63,59,47,43,18,,,,,,,,,,
Jordan,338,318,437,359,368,305,281,198,282,293,,,,,,,,,,
Kazakhstan,40,35,78,101,118,117,108,71,75,45,,,,,,,,,,
Kenya,176,159,326,537,716,539,494,341,423,415,,,,,,,,,,
"Korea, South",519,307,545,580,594,714,627,470,349,255,,,,,,,,,,
Kosovo,X,X,D,26,24,36,26,30,17,20,,,,,,,,,,
Kuwait,80,57,28,29,27,23,22,26,22,34,,,,,,,,,,
Kyrgyzstan,14,D,20,59,56,44,40,89,52,40,,,,,,,,,,
Laos,199,117,712,657,703,758,754,561,335,184,,,,,,,,,,
Latvia,22,16,29,30,44,38,35,36,41,39,,,,,,,,,,
Lebanon,262,195,236,216,220,171,128,103,117,94,,,,,,,,,,
Liberia,137,99,271,338,309,309,314,231,176,143,,,,,,,,,,
Libya,10,8,21,14,16,24,23,16,36,22,,,,,,,,,,
Lithuania,47,55,100,94,81,77,84,65,48,27,,,,,,,,,,
Macau,D,21,D,D,5,D,-,-,5,D,,,,,,,,,,
Macedonia,48,40,93,62,57,51,43,30,22,19,,,,,,,,,,
Malawi,5,7,16,10,14,21,14,10,13,7,,,,,,,,,,
Malaysia,104,58,91,60,73,53,49,31,30,14,,,,,,,,,,
Mali,120,80,127,140,163,112,100,83,89,40,,,,,,,,,,
Marshall Islands,4,3,15,20,19,21,28,35,66,34,,,,,,,,,,
Mauritania,46,62,128,141,81,70,55,57,25,14,,,,,,,,,,
Mexico,"1,057,219","854,190","884,017","731,225","632,034","517,472","468,766","424,978","350,177","267,885",,,,,,,,,,
"Micronesia, Federated States",24,18,83,88,110,106,106,113,95,80,,,,,,,,,,
Moldova,28,46,82,99,129,144,93,93,57,63,,,,,,,,,,
Mongolia,44,54,80,142,124,129,95,66,52,27,,,,,,,,,,
Montenegro,X,-,D,4,D,11,18,6,11,9,,,,,,,,,,
Montserrat,D,D,10,9,9,9,4,D,4,D,,,,,,,,,,
Morocco,287,183,227,232,226,173,149,135,135,95,,,,,,,,,,
Nepal,48,44,102,148,230,180,248,448,555,443,,,,,,,,,,
Netherlands,29,25,59,92,76,72,64,57,45,44,,,,,,,,,,
Netherlands Antilles (former),4,D,15,4,9,11,D,5,3,3,,,,,,,,,,
New Zealand,19,19,45,38,55,63,35,30,34,23,,,,,,,,,,
Nicaragua,"3,228","2,117","2,800","2,737","2,587","2,278","2,532","2,712","2,912","1,577",,,,,,,,,,
Niger,112,115,87,54,68,48,50,39,34,24,,,,,,,,,,
Nigeria,363,351,680,624,599,633,543,492,396,274,,,,,,,,,,
Norway,7,7,13,8,12,7,8,D,4,-,,,,,,,,,,
Pakistan,721,654,654,578,612,538,470,334,350,287,,,,,,,,,,
Palau,8,3,20,19,20,20,26,21,23,10,,,,,,,,,,
Panama,132,112,326,268,283,226,197,184,100,92,,,,,,,,,,
Paraguay,26,21,26,47,32,35,33,30,16,8,,,,,,,,,,
Peru,"1,020",943,"1,807","2,079","1,729","1,741","1,588","1,682","1,568",827,,,,,,,,,,
Philippines,773,500,"1,340","1,080","1,079","1,135",927,721,592,334,,,,,,,,,,
Poland,337,309,602,571,635,519,494,328,266,205,,,,,,,,,,
Portugal,106,70,234,220,205,194,215,131,91,57,,,,,,,,,,
Romania,309,196,287,255,630,869,"1,220",865,"1,038",537,,,,,,,,,,
Russia,183,194,470,565,564,526,414,320,262,159,,,,,,,,,,
Rwanda,4,8,19,23,12,19,13,21,12,14,,,,,,,,,,
Saint Kitts-Nevis,24,10,41,45,30,46,49,32,20,21,,,,,,,,,,
Saint Lucia,45,37,79,71,82,58,57,45,44,30,,,,,,,,,,
Saint Vincent and the Grenadines,16,10,69,63,57,50,41,43,31,15,,,,,,,,,,
Samoa,21,25,33,57,26,36,32,37,20,11,,,,,,,,,,
Saudi Arabia,130,67,87,70,148,127,198,264,226,276,,,,,,,,,,
Senegal,98,92,158,157,170,158,164,132,98,41,,,,,,,,,,
Serbia,X,D,4,6,D,22,13,35,40,20,,,,,,,,,,
Serbia and Montenegro (former),176,222,302,219,174,142,86,64,58,29,,,,,,,,,,
Sierra Leone,75,98,158,192,147,171,162,145,96,65,,,,,,,,,,
Singapore,11,14,21,21,21,12,7,16,9,3,,,,,,,,,,
Slovakia,15,23,45,40,51,29,44,23,28,15,,,,,,,,,,
Slovenia,3,D,4,11,9,5,7,-,D,4,,,,,,,,,,
Somalia,122,98,201,237,277,336,316,214,169,131,,,,,,,,,,
South Africa,108,83,124,149,144,123,95,79,63,43,,,,,,,,,,
South Sudan,X,X,X,X,X,D,3,42,21,14,,,,,,,,,,
Soviet Union (former),96,43,110,62,91,92,115,89,64,19,,,,,,,,,,
Spain,32,28,91,92,99,126,139,98,129,84,,,,,,,,,,
Sri Lanka,67,47,107,135,284,316,223,134,95,128,,,,,,,,,,
Sudan,74,38,164,202,252,226,253,168,132,81,,,,,,,,,,
Suriname,20,10,28,28,18,19,20,15,8,8,,,,,,,,,,
Sweden,10,19,30,44,37,42,33,27,24,14,,,,,,,,,,
Switzerland,8,12,22,19,22,19,14,11,12,3,,,,,,,,,,
Syria,151,101,101,91,99,114,57,72,61,57,,,,,,,,,,
Taiwan,44,34,66,69,60,75,46,55,35,38,,,,,,,,,,
Tajikistan,13,15,43,90,80,82,51,33,35,36,,,,,,,,,,
Tanzania,49,45,64,81,82,64,73,72,129,42,,,,,,,,,,
Thailand,339,117,382,304,300,257,276,246,197,84,,,,,,,,,,
Togo,29,43,53,44,40,43,46,20,23,10,,,,,,,,,,
Tonga,43,27,99,76,100,82,86,49,44,26,,,,,,,,,,
